Тип вакансии;Название вакансии;Мин. зарплата (рублей);Макс. зарплата (рублей);Тип зарплаты;Требуемый опыт (лет);Город;Компания;Требуемые навыки;Дата публикации
ML-инженер;ML-инженер (Middle);;;;;Нижний Новгород;Riverstart (ООО Риверстарт);Машинное обучение, Bash, Docker, Apache Airflow, MLflow, SQL, Deep Learning, Kubernetes;09.06.2026
ML-инженер;Senior ML Engineer (ИИ-агенты);;;;3.0;Москва;Сбер. Data Science;;09.06.2026
ML-инженер;Lead ML Engineer;200000;300000.0;gross;;Москва;АО ТМГТ;;09.06.2026
ML-инженер;ML-инженер по автоматизации планирования производства;277500;;gross;;Елабужский район;Алабуга. Аппарат генерального директора;;09.06.2026
ML-инженер;ML-инженер по автоматизации планирования производства;277500;;gross;;Елабужский район;Алабуга. Аппарат генерального директора;;09.06.2026
ML-инженер;ML-инженер;;;;3.0;Казань;Т-Банк. ИТ. Разработка;Python, Big Data, PyTorch;08.06.2026
ML-инженер;ML-инженер;;;;3.0;Москва;Т1 Иннотех;SQL, Python, Kuberflow, Docker;08.06.2026
ML-инженер;ML-инженер;;;;3.0;Москва;АО ГНИВЦ;Python, PostgreSQL, Git, NLP, PyTorch, Linux;08.06.2026
ML-инженер;ML Engineer;;;;3.0;Ижевск;Хохряков Игорь;Английский — A2 — Элементарный;08.06.2026
ML-инженер;ML-инженер;;;;;Москва;СОГАЗ: г. Москва;Python, FastAPI;08.06.2026
ML-инженер;ML-инженер;;;;3.0;Москва;EvoAI;;08.06.2026
ML-инженер;CV / ML / DL инженер (Джун);100000;150000.0;net;;Москва;NVI Solutions LLC;Python, Linux, PyTorch;09.06.2026
ML-инженер;ML Engineer/Data Scientist Transactional AntiFraud;;;;;Ташкент;КСК-Эйч Ар;Python, Scikit-learn, Deep Learning, pandas, Elasticsearch, PyTorch, Английский язык, ETL, Amazon Web Services, Apache Cassandra, Clickhouse, Data Analysis, Математическая статистика, Теория вероятностей, Алгоритмы и структуры данных, Big Data;09.06.2026
ML-инженер;ML-инженер/Инженер по внедрению AI-решений/AI Engineer;;;;;Воронеж;ООО «ДержавинЪ»;;09.06.2026
ML-инженер;ML-продакт-менеджер;;;;3.0;Казань;Т-Банк. ИТ. Управление продуктами и проектами;;09.06.2026
ML-инженер;Senior ML инженер;;;;3.0;Санкт-Петербург;Сбер. Data Science;;08.06.2026
ML-инженер;ML/DS инженер;;;;3.0;Москва;RWB (Wildberries & Russ);;08.06.2026
ML-инженер;Senior ML-разработчик / Программист машинного обучения / ML-Engineer;280000;;gross;;Псков;ООО НАСКА;Git, Английский язык, Scrum, Big Data, Python, SQL, Linux, REST, HTML, Data Analysis, PHP, NLP, Numpy, pandas, sklearn, PyTorch, TensorFlow, Обучение и развитие, Теория вероятностей, Docker, Scikit-learn, ML, Нейронные сети, Английский — B1 — Средний;09.06.2026
ML-инженер;ML инженер (Middle);;;;;Москва;ООО Страховая компания Сбербанк страхование;;08.06.2026
ML-инженер;Senior ML-инженер (RecSys);;;;3.0;Москва;RWB (Wildberries & Russ);RecSys, Python, MLflow;08.06.2026
ML-инженер;ML Team Lead;;;;3.0;Москва;RWB (Wildberries & Russ);;02.06.2026
ML-инженер;Lead (Senior) ML (AI) Engineer/Solution Architect;;;;;Москва;Градиент;Аналитические исследования, Машинное обучение, Разработка бизнес-модели, Аналитическое мышление, Python, JavaScript, TensorFlow, PyTorch, pandas, Numpy, SQL, Big Data, Бизнес-анализ, Приоритизация бэклога;05.06.2026
ML-инженер;ML инженер;;;;3.0;Москва;RWB (Wildberries & Russ);;26.05.2026
ML-инженер;ML-инженер;;;;;Москва;Ozon Офис и Коммерция;Ozon офис и коммерция;26.05.2026
ML-инженер;ML-инженер / Архитектор RAG-систем;;;;;Пермь;ООО Академия Бизнес Решений;Python, Машинное обучение, Архитектура, API, Docker, Алгоритмы и структуры данных, Математическая статистика, RAG, NLP, Machine Learning, Natural Language Processing;01.06.2026
ML-инженер;ML-инженер в Центр технологий искусственного интеллекта;;;;3.0;Нижний Новгород;Т-Банк. ИТ. QA;PyTorch, Python, Deep Learning, NLP, RecSys, LLM, Docker, Classic ML;02.06.2026
ML-инженер;ML-инженер;;;;3.0;Красноярск;Т-Банк. ИТ. Разработка;Python, Git, Linux, Bash;26.05.2026
ML-инженер;AI-Инженер (г. Владимир);120000;;net;;Владимир;ООО ЮК Импульс;;07.06.2026
ML-инженер;Lead ML Engineer (Quant Researcher);450000;;net;;Москва;Дартс рекрутинг сервисез;;01.06.2026
ML-инженер;Senior ML Engineer (Quant Researcher);400000;;net;3.0;Москва;Дартс рекрутинг сервисез;;01.06.2026
ML-инженер;ML/AI Инженер;;;;3.0;Москва;ООО Платформа Трим;Python;28.05.2026
ML-инженер;Middle ML Engineer;;;;;Санкт-Петербург;СПб ГКУ Санкт-Петербургский информационно-аналитический центр;Python, PyTorch, API, FastAPI;29.05.2026
ML-инженер;Аналитик данных / ML;;;;3.0;Москва;Московский метрополитен;SQL, pandas, Numpy, Анализ данных, Машинное обучение, Python;01.06.2026
ML-инженер;ML-продакт-менеджер;;;;3.0;Москва;Т-Банк. ИТ. Разработка;ML, AI, LLM, Product Management, Product Led Growth, Продуктовые метрики, Roadmap;01.06.2026
ML-инженер;Руководитель группы ML, Базовые модели и инструменты;;;;;Москва;Ozon Tech;IT, торговая площадка, Python;04.06.2026
ML-инженер;AI/ML Developer/Инженер по машинному обучению (Инженер-разработчик систем ИИ);170000;;net;;Москва;ООО Молайн;Python, Big Data, Обучение и развитие, Работа с базами данных, SQL, ML-фреймворки, Scikit-learn, PyTorch, TensorFlow, LLM, AI-агенты, Tableau, Power BI, AWS, GCP, Azure, Яндекс.Облако, OLAP, DevOps, ИИ;02.06.2026
ML-инженер;ML-инженер/ML Quant Developer;;;;;Санкт-Петербург;Advantage Solutions;Python, Deep Learning, Английский — B2 — Средне-продвинутый;27.05.2026
ML-инженер;ML Engineer;200000;350000.0;net;;Москва;ProfiStaff;;25.05.2026
ML-инженер;Middle ML Engineer (Retrieval Agent / RnD);;;;;Москва;Сбер. Data Science;LoRA, SFT, LLM, HuggingFace, PyTorch, Reinforcement Learning;23.05.2026
ML-инженер;Senior ML Engineer — Matching / NLP;;;;3.0;Москва;ООО HeadHunter::Analytics/Data Science;;21.05.2026
ML-инженер;Руководитель группы ML, Генеративный контент;;;;;Москва;Ozon Tech;IT, торговая площадка;26.05.2026
ML-инженер;Старший ML инженер;;;;3.0;Москва;Альфа-Банк. Центральный офис;Python, Hadoop, PySpark, Apache Kafka, Kubernetes, Jenkins, Apache Airflow, MLflow;13.05.2026
ML-инженер;Senior C++ разработчик (интеграция ML/AI);;;;;Москва;ЗАО 1С;C++;27.05.2026
ML-инженер;Senior ML-инженер;;;;3.0;Москва;Газпромбанк;;12.05.2026
ML-инженер;Руководитель ML группы;;;;3.0;Москва;Ozon Tech;Python, Управление командой, IT;21.05.2026
ML-инженер;С++ ML Engineer / Data Scientist (С++);250000;350000.0;gross;3.0;Москва;АО НЭПТ;С++, Qt, YOLO, CNN, OpenCV, CV, Computer Vision;22.05.2026
ML-инженер;Senior ML Engineer CVM;;;;3.0;Москва;DODO BRANDS (Dodo Pizza, Drinkit);;17.05.2026
ML-инженер;ML Engineer (MusicSearch);;;;3.0;Москва;Сбер. IT;;13.05.2026
ML-инженер;Data Scientist / ML - инженер;;;;3.0;Москва;ООО ИЦ АЙ-ТЕКО;;15.05.2026
ML-инженер;ML/DevOps Engineer;;;;3.0;Москва;МТС Банк. IT;vllm, Triton Inference Server, FastAPI, KServe, TorchServe, ML, Linux, CI/CD, DevOps;20.05.2026
ML-инженер;ML Team Lead;;;;;Санкт-Петербург;Дром;Python, PyTorch, Apache Kafka, CatBoost, LightGBM, MySQL, PostgreSQL, Clickhouse, Redis, Docker, Kubernetes, GitLab CI, Grafana;20.05.2026
ML-инженер;Tech Lead ML Engineer (Python);;;;;Санкт-Петербург;RedLab;;19.05.2026
ML-инженер;ML Team Lead;;;;;Москва;RWB (Wildberries & Russ);;19.05.2026
ML-инженер;Senior ML-инженер по инфраструктуре данных (GigaChat Data);;;;;Москва;Сбер. IT;;22.05.2026
ML-инженер;ML разработчик;250000;;gross;3.0;Москва;ИП Фомин Сергей Александрович;Python, FastAPI, XGBoost, LightGBM, PyTorch, TensorFlow, JSON, Spark, PySpark, Hadoop, Apache Hive, Docker, Kubernetes, CI/CD, Unit Testing, OpenCV, Машинное обучение;14.05.2026
ML-инженер;Data Scientist / ML Engineer;;200000.0;net;3.0;Москва;ООО ИЦ АЙ-ТЕКО;;15.05.2026
ML-инженер;ML-инженер в Яндекс;;;;;Москва;Яндекс;;13.05.2026
ML-инженер;Инженер MLOps;;;;3.0;Москва;ПАО БАНК УРАЛСИБ;Python, Kubernetes, Bash, CI/CD, Gitlab, MLflow, DevOps, MLOps, MinIO, Helm, JupyterHub, Prefect, Keycloak, Data Science, ML Engineer;13.05.2026
ML-инженер;Middle+ / Senior MLOps инженер;250000;450000.0;gross;;Санкт-Петербург;RedLab;Машинное обучение, DevOps, Python, Django Framework, FastAPI;19.05.2026
ML-инженер;AI Lead;;;;3.0;Москва;585, Холдинг;;09.06.2026
ML-инженер;Системный аналитик (LLM, NLP, RAG, AI-агенты);;;;3.0;Москва;Diasoft;RAG, MCP, SGLang, Python, Go, Системный анализ, QWEN;09.06.2026
ML-инженер;AI инженер/LLM инженер (RAG, Agents, Python);;;;3.0;Москва;ФГАОУ ВО РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ им.Н.И. ПИРОГОВА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;"нацеленннацеленность на результат; надежность; системное мышление; кооперативность.";19.05.2026
ML-инженер;Главный специалист по продвинутой аналитике/MLOPS инженер;;;;;Санкт-Петербург;ООО Газпромнефть-Региональные продажи;Python, Git, Linux, Kubernetes, Docker, Helm;25.05.2026
ML-инженер;Technical Project Manager (AI Research);;;;3.0;Москва;Сбер. IT;;05.06.2026
ML-инженер;Data Scientist – Digital Oilfield Systems, Kuwait;;;;;Москва;Rubius;Английский — B2 — Средне-продвинутый;08.06.2026
ML-инженер;Старший технический писатель (MLS ETL);;;;3.0;Москва;Сloud.ru: Разработка;API, Release Notes, ML;05.06.2026
ML-инженер;TechLead AI (МТС Веб Сервисы, Медиаплатформа);;;;;Москва;"""МТС"", Работа в IT";;03.06.2026
ML-инженер;Аналитик-разработчик в команду AI Safety Алисы;;;;3.0;Москва;Команда Поисковых сервисов и ИИ;Python, Математическая статистика, Теория вероятностей, pandas;03.06.2026
ML-инженер;Head of AI platform;400000;;net;;Москва;Hi, Rockits!;;03.06.2026
ML-инженер;DS/ AI Lead (технический директор);;;;;Москва;Сбер. Data Science;;03.06.2026
ML-инженер;Системный аналитик (команда MLOps tools);;;;3.0;Москва;Сбер. IT;;20.05.2026
ML-инженер;AI/LLM Engineer в AI Lab;;;;3.0;Москва;ООО HeadHunter::Analytics/Data Science;Python, machine learning, data science, nlp, genai, langchain, langgraph, vllm, oss models, prompt engineering, rag, system design, FastAPI, asyncio, quadrant, mulvus, pgvector, highload, llm api;26.05.2026
ML-инженер;Senior AI Engineer;;;;;Москва;YADRO;C++, Python;16.05.2026
ML-инженер;Senior Data Scientist NLP (команда Phygital-продажи и GenAI);;;;3.0;Москва;Сбер. Data Science;;15.05.2026
ML-инженер;Senior Python Backend-разработчик (Высоконагруженные системы, AI) Новосибирск;;;;3.0;Новосибирск;ООО СофтМолл;;25.05.2026
ML-инженер;Специалист MLOps;;;;3.0;Саратов;ООО «РУСАГРО», ОЦО;;09.06.2026
ML-инженер;Senior MLOps Engineer;;;;3.0;Москва;ООО Страховая компания Сбербанк страхование;;02.06.2026
Data Scientist;Data Scientist в Сетку;;;;3.0;Москва;ООО HeadHunter::Analytics/Data Science;;03.06.2026
Data Scientist;Data Scientist;;210000.0;net;3.0;Москва;ООО ИЦ АЙ-ТЕКО;;09.06.2026
